QueryMolecule,PromptType,Prediction,ExtractedRatings,GT_FISH,GT_COLD,GT_AMMONIA,GT_DECAYED,GT_STRENGTH,GT_PLEASANT,GT_FAMILIAR,FISH_error,FISH_predicted,FISH_actual,COLD_error,COLD_predicted,COLD_actual,AMMONIA/URINOUS_error,AMMONIA/URINOUS_predicted,AMMONIA/URINOUS_actual,DECAYED_error,DECAYED_predicted,DECAYED_actual,HOW STRONG IS THE SMELL?_error,HOW STRONG IS THE SMELL?_predicted,HOW STRONG IS THE SMELL?_actual,HOW PLEASANT IS THE SMELL?_error,HOW PLEASANT IS THE SMELL?_predicted,HOW PLEASANT IS THE SMELL?_actual,HOW FAMILIAR IS THE SMELL?_error,HOW FAMILIAR IS THE SMELL?_predicted,HOW FAMILIAR IS THE SMELL?_actual,mean_absolute_error,dimensions_evaluated,error
2-Phenylethyl isothiocyanate,basic,"<scent_ratings>
{
    ""molecule"": ""2-Phenylethyl isothiocyanate"",
    ""EDIBLE"": 30.0,
    ""BAKERY"": 25.0,
    ""SWEET"": 35.0,
    ""FRUIT"": 20.0,
    ""FISH"": 25.0,
    ""GARLIC"": 40.0,
    ""SPICES"": 50.0,
    ""COLD"": 20.0,
    ""SOUR"": 15.0,
    ""BURNT"": 10.0,
    ""ACID"": 20.0,
    ""WARM"": 30.0,
    ""MUSKY"": 35.0,
    ""SWEATY"": 25.0,
    ""AMMONIA/URINOUS"": 30.0,
    ""DECAYED"": 20.0,
    ""WOOD"": 25.0,
    ""GRASS"": 15.0,
    ""FLOWER"": 40.0,
    ""CHEMICAL"": 30.0,
    ""HOW STRONG IS THE SMELL?"": 60.0,
    ""HOW PLEASANT IS THE SMELL?"": 45.0,
    ""HOW FAMILIAR IS THE SMELL?"": 50.0
}
</scent_ratings>","{'molecule': '2-Phenylethyl isothiocyanate', 'EDIBLE': 30.0, 'BAKERY': 25.0, 'SWEET': 35.0, 'FRUIT': 20.0, 'FISH': 25.0, 'GARLIC': 40.0, 'SPICES': 50.0, 'COLD': 20.0, 'SOUR': 15.0, 'BURNT': 10.0, 'ACID': 20.0, 'WARM': 30.0, 'MUSKY': 35.0, 'SWEATY': 25.0, 'AMMONIA/URINOUS': 30.0, 'DECAYED': 20.0, 'WOOD': 25.0, 'GRASS': 15.0, 'FLOWER': 40.0, 'CHEMICAL': 30.0, 'HOW STRONG IS THE SMELL?': 60.0, 'HOW PLEASANT IS THE SMELL?': 45.0, 'HOW FAMILIAR IS THE SMELL?': 50.0}",24.466666666666665,26.142857142857142,24.857142857142858,23.08333333333333,59.1530612244898,28.51020408163265,44.51020408163265,0.533333333333335,25.0,24.466666666666665,6.142857142857142,20.0,26.142857142857142,5.142857142857142,30.0,24.857142857142858,3.0833333333333286,20.0,23.08333333333333,0.8469387755102034,60.0,59.1530612244898,16.48979591836735,45.0,28.51020408163265,5.489795918367349,50.0,44.51020408163265,5.3898445092322635,7.0,
1-Octen-3-yl acetate,basic,"<scent_ratings>
{
    ""molecule"": ""1-Octen-3-yl acetate"",
    ""EDIBLE"": 30.0,
    ""BAKERY"": 25.0,
    ""SWEET"": 40.0,
    ""FRUIT"": 50.0,
    ""FISH"": 20.0,
    ""GARLIC"": 10.0,
    ""SPICES"": 35.0,
    ""COLD"": 30.0,
    ""SOUR"": 15.0,
    ""BURNT"": 5.0,
    ""ACID"": 20.0,
    ""WARM"": 25.0,
    ""MUSKY"": 15.0,
    ""SWEATY"": 10.0,
    ""AMMONIA/URINOUS"": 20.0,
    ""DECAYED"": 15.0,
    ""WOOD"": 30.0,
    ""GRASS"": 40.0,
    ""FLOWER"": 35.0,
    ""CHEMICAL"": 10.0,
    ""HOW STRONG IS THE SMELL?"": 50.0,
    ""HOW PLEASANT IS THE SMELL?"": 55.0,
    ""HOW FAMILIAR IS THE SMELL?"": 45.0
}
</scent_ratings>","{'molecule': '1-Octen-3-yl acetate', 'EDIBLE': 30.0, 'BAKERY': 25.0, 'SWEET': 40.0, 'FRUIT': 50.0, 'FISH': 20.0, 'GARLIC': 10.0, 'SPICES': 35.0, 'COLD': 30.0, 'SOUR': 15.0, 'BURNT': 5.0, 'ACID': 20.0, 'WARM': 25.0, 'MUSKY': 15.0, 'SWEATY': 10.0, 'AMMONIA/URINOUS': 20.0, 'DECAYED': 15.0, 'WOOD': 30.0, 'GRASS': 40.0, 'FLOWER': 35.0, 'CHEMICAL': 10.0, 'HOW STRONG IS THE SMELL?': 50.0, 'HOW PLEASANT IS THE SMELL?': 55.0, 'HOW FAMILIAR IS THE SMELL?': 45.0}",14.5,35.09090909090909,15.818181818181818,20.5,44.14457831325301,37.59036144578313,34.25301204819277,5.5,20.0,14.5,5.0909090909090935,30.0,35.09090909090909,4.181818181818182,20.0,15.818181818181818,5.5,15.0,20.5,5.855421686746993,50.0,44.14457831325301,17.40963855421687,55.0,37.59036144578313,10.746987951807228,45.0,34.25301204819277,7.754967923642623,7.0,
"3-Acetyl-2,5-dimethylthiophene",basic,"<scent_ratings>
{
    ""molecule"": ""3-Acetyl-2,5-dimethylthiophene"",
    ""EDIBLE"": 30.0,
    ""BAKERY"": 35.0,
    ""SWEET"": 25.0,
    ""FRUIT"": 20.0,
    ""FISH"": 30.0,
    ""GARLIC"": 15.0,
    ""SPICES"": 40.0,
    ""COLD"": 25.0,
    ""SOUR"": 20.0,
    ""BURNT"": 10.0,
    ""ACID"": 15.0,
    ""WARM"": 35.0,
    ""MUSKY"": 45.0,
    ""SWEATY"": 20.0,
    ""AMMONIA/URINOUS"": 25.0,
    ""DECAYED"": 20.0,
    ""WOOD"": 30.0,
    ""GRASS"": 25.0,
    ""FLOWER"": 20.0,
    ""CHEMICAL"": 30.0,
    ""HOW STRONG IS THE SMELL?"": 60.0,
    ""HOW PLEASANT IS THE SMELL?"": 50.0,
    ""HOW FAMILIAR IS THE SMELL?"": 40.0
}
</scent_ratings>","{'molecule': '3-Acetyl-2,5-dimethylthiophene', 'EDIBLE': 30.0, 'BAKERY': 35.0, 'SWEET': 25.0, 'FRUIT': 20.0, 'FISH': 30.0, 'GARLIC': 15.0, 'SPICES': 40.0, 'COLD': 25.0, 'SOUR': 20.0, 'BURNT': 10.0, 'ACID': 15.0, 'WARM': 35.0, 'MUSKY': 45.0, 'SWEATY': 20.0, 'AMMONIA/URINOUS': 25.0, 'DECAYED': 20.0, 'WOOD': 30.0, 'GRASS': 25.0, 'FLOWER': 20.0, 'CHEMICAL': 30.0, 'HOW STRONG IS THE SMELL?': 60.0, 'HOW PLEASANT IS THE SMELL?': 50.0, 'HOW FAMILIAR IS THE SMELL?': 40.0}",42.8,25.11111111111111,26.90909090909091,25.25,56.15730337078652,35.96629213483146,42.79775280898876,12.799999999999997,30.0,42.8,0.11111111111111072,25.0,25.11111111111111,1.90909090909091,25.0,26.90909090909091,5.25,20.0,25.25,3.842696629213478,60.0,56.15730337078652,14.033707865168537,50.0,35.96629213483146,2.7977528089887613,40.0,42.79775280898876,5.820622760510399,7.0,
Androstadienone,basic,"<scent_ratings>
{
    ""molecule"": ""Androstadienone"",
    ""EDIBLE"": 20,
    ""BAKERY"": 15,
    ""SWEET"": 10,
    ""FRUIT"": 12,
    ""FISH"": 25,
    ""GARLIC"": 5,
    ""SPICES"": 30,
    ""COLD"": 20,
    ""SOUR"": 8,
    ""BURNT"": 10,
    ""ACID"": 15,
    ""WARM"": 35,
    ""MUSKY"": 70,
    ""SWEATY"": 60,
    ""AMMONIA/URINOUS"": 25,
    ""DECAYED"": 20,
    ""WOOD"": 40,
    ""GRASS"": 15,
    ""FLOWER"": 10,
    ""CHEMICAL"": 20,
    ""HOW STRONG IS THE SMELL?"": 65,
    ""HOW PLEASANT IS THE SMELL?"": 50,
    ""HOW FAMILIAR IS THE SMELL?"": 55
}
</scent_ratings>","{'molecule': 'Androstadienone', 'EDIBLE': 20, 'BAKERY': 15, 'SWEET': 10, 'FRUIT': 12, 'FISH': 25, 'GARLIC': 5, 'SPICES': 30, 'COLD': 20, 'SOUR': 8, 'BURNT': 10, 'ACID': 15, 'WARM': 35, 'MUSKY': 70, 'SWEATY': 60, 'AMMONIA/URINOUS': 25, 'DECAYED': 20, 'WOOD': 40, 'GRASS': 15, 'FLOWER': 10, 'CHEMICAL': 20, 'HOW STRONG IS THE SMELL?': 65, 'HOW PLEASANT IS THE SMELL?': 50, 'HOW FAMILIAR IS THE SMELL?': 55}",6.0,21.352941176470587,29.95652173913044,27.416666666666668,52.16,33.333333333333336,39.52,19.0,25.0,6.0,1.352941176470587,20.0,21.352941176470587,4.956521739130441,25.0,29.95652173913044,7.416666666666668,20.0,27.416666666666668,12.840000000000003,65.0,52.16,16.666666666666664,50.0,33.333333333333336,15.479999999999997,55.0,39.52,11.10182803556205,7.0,
Piperonyl isobutyrate,basic,"```json
{
    ""molecule"": ""Piperonyl isobutyrate"",
    ""EDIBLE"": 30.0,
    ""BAKERY"": 35.0,
    ""SWEET"": 40.0,
    ""FRUIT"": 25.0,
    ""FISH"": 20.0,
    ""GARLIC"": 10.0,
    ""SPICES"": 45.0,
    ""COLD"": 30.0,
    ""SOUR"": 15.0,
    ""BURNT"": 5.0,
    ""ACID"": 20.0,
    ""WARM"": 35.0,
    ""MUSKY"": 25.0,
    ""SWEATY"": 10.0,
    ""AMMONIA/URINOUS"": 20.0,
    ""DECAYED"": 15.0,
    ""WOOD"": 30.0,
    ""GRASS"": 20.0,
    ""FLOWER"": 50.0,
    ""CHEMICAL"": 15.0,
    ""HOW STRONG IS THE SMELL?"": 50.0,
    ""HOW PLEASANT IS THE SMELL?"": 55.0,
    ""HOW FAMILIAR IS THE SMELL?"": 45.0
}
```",PARSE_ERROR,5.0,27.0,21.142857142857142,25.5,27.894736842105264,45.719298245614034,34.40350877192982,,,,,,,,,,,,,,,,,,,,,,,,Could not parse prediction
Diethyl malate,basic,"<scent_ratings>
{
    ""molecule"": ""Diethyl malate"",
    ""EDIBLE"": 60.0,
    ""BAKERY"": 55.0,
    ""SWEET"": 70.0,
    ""FRUIT"": 75.0,
    ""FISH"": 10.0,
    ""GARLIC"": 5.0,
    ""SPICES"": 20.0,
    ""COLD"": 25.0,
    ""SOUR"": 30.0,
    ""BURNT"": 5.0,
    ""ACID"": 40.0,
    ""WARM"": 50.0,
    ""MUSKY"": 15.0,
    ""SWEATY"": 10.0,
    ""AMMONIA/URINOUS"": 5.0,
    ""DECAYED"": 10.0,
    ""WOOD"": 20.0,
    ""GRASS"": 30.0,
    ""FLOWER"": 60.0,
    ""CHEMICAL"": 15.0,
    ""HOW STRONG IS THE SMELL?"": 45.0,
    ""HOW PLEASANT IS THE SMELL?"": 65.0,
    ""HOW FAMILIAR IS THE SMELL?"": 50.0
}
</scent_ratings>","{'molecule': 'Diethyl malate', 'EDIBLE': 60.0, 'BAKERY': 55.0, 'SWEET': 70.0, 'FRUIT': 75.0, 'FISH': 10.0, 'GARLIC': 5.0, 'SPICES': 20.0, 'COLD': 25.0, 'SOUR': 30.0, 'BURNT': 5.0, 'ACID': 40.0, 'WARM': 50.0, 'MUSKY': 15.0, 'SWEATY': 10.0, 'AMMONIA/URINOUS': 5.0, 'DECAYED': 10.0, 'WOOD': 20.0, 'GRASS': 30.0, 'FLOWER': 60.0, 'CHEMICAL': 15.0, 'HOW STRONG IS THE SMELL?': 45.0, 'HOW PLEASANT IS THE SMELL?': 65.0, 'HOW FAMILIAR IS THE SMELL?': 50.0}",41.833333333333336,30.727272727272727,19.9,18.857142857142858,19.96153846153846,46.75,30.48076923076923,31.833333333333336,10.0,41.833333333333336,5.727272727272727,25.0,30.727272727272727,14.899999999999999,5.0,19.9,8.857142857142858,10.0,18.857142857142858,25.03846153846154,45.0,19.96153846153846,18.25,65.0,46.75,19.51923076923077,50.0,30.48076923076923,17.732205889348744,7.0,
Acetanisole,basic,"<scent_ratings>
{
    ""molecule"": ""Acetanisole"",
    ""EDIBLE"": 15.0,
    ""BAKERY"": 20.0,
    ""SWEET"": 30.0,
    ""FRUIT"": 25.0,
    ""FISH"": 10.0,
    ""GARLIC"": 5.0,
    ""SPICES"": 20.0,
    ""COLD"": 25.0,
    ""SOUR"": 10.0,
    ""BURNT"": 5.0,
    ""ACID"": 15.0,
    ""WARM"": 20.0,
    ""MUSKY"": 10.0,
    ""SWEATY"": 5.0,
    ""AMMONIA/URINOUS"": 15.0,
    ""DECAYED"": 10.0,
    ""WOOD"": 20.0,
    ""GRASS"": 15.0,
    ""FLOWER"": 35.0,
    ""CHEMICAL"": 10.0,
    ""HOW STRONG IS THE SMELL?"": 40.0,
    ""HOW PLEASANT IS THE SMELL?"": 55.0,
    ""HOW FAMILIAR IS THE SMELL?"": 50.0
}
</scent_ratings>","{'molecule': 'Acetanisole', 'EDIBLE': 15.0, 'BAKERY': 20.0, 'SWEET': 30.0, 'FRUIT': 25.0, 'FISH': 10.0, 'GARLIC': 5.0, 'SPICES': 20.0, 'COLD': 25.0, 'SOUR': 10.0, 'BURNT': 5.0, 'ACID': 15.0, 'WARM': 20.0, 'MUSKY': 10.0, 'SWEATY': 5.0, 'AMMONIA/URINOUS': 15.0, 'DECAYED': 10.0, 'WOOD': 20.0, 'GRASS': 15.0, 'FLOWER': 35.0, 'CHEMICAL': 10.0, 'HOW STRONG IS THE SMELL?': 40.0, 'HOW PLEASANT IS THE SMELL?': 55.0, 'HOW FAMILIAR IS THE SMELL?': 50.0}",9.666666666666666,26.46153846153846,32.625,17.333333333333332,64.48543689320388,60.53398058252427,53.45631067961165,0.3333333333333339,10.0,9.666666666666666,1.46153846153846,25.0,26.46153846153846,17.625,15.0,32.625,7.333333333333332,10.0,17.333333333333332,24.485436893203882,40.0,64.48543689320388,5.533980582524272,55.0,60.53398058252427,3.456310679611647,50.0,53.45631067961165,8.604133326220703,7.0,
"4,5-Dihydro-3(2H)-thiophenone",basic,"<scent_ratings>
{
    ""molecule"": ""4,5-Dihydro-3(2H)-thiophenone"",
    ""EDIBLE"": 30.0,
    ""BAKERY"": 25.0,
    ""SWEET"": 35.0,
    ""FRUIT"": 20.0,
    ""FISH"": 28.0,
    ""GARLIC"": 15.0,
    ""SPICES"": 40.0,
    ""COLD"": 22.0,
    ""SOUR"": 18.0,
    ""BURNT"": 10.0,
    ""ACID"": 20.0,
    ""WARM"": 30.0,
    ""MUSKY"": 25.0,
    ""SWEATY"": 15.0,
    ""AMMONIA/URINOUS"": 20.0,
    ""DECAYED"": 18.0,
    ""WOOD"": 30.0,
    ""GRASS"": 25.0,
    ""FLOWER"": 20.0,
    ""CHEMICAL"": 15.0,
    ""HOW STRONG IS THE SMELL?"": 50.0,
    ""HOW PLEASANT IS THE SMELL?"": 40.0,
    ""HOW FAMILIAR IS THE SMELL?"": 35.0
}
</scent_ratings>","{'molecule': '4,5-Dihydro-3(2H)-thiophenone', 'EDIBLE': 30.0, 'BAKERY': 25.0, 'SWEET': 35.0, 'FRUIT': 20.0, 'FISH': 28.0, 'GARLIC': 15.0, 'SPICES': 40.0, 'COLD': 22.0, 'SOUR': 18.0, 'BURNT': 10.0, 'ACID': 20.0, 'WARM': 30.0, 'MUSKY': 25.0, 'SWEATY': 15.0, 'AMMONIA/URINOUS': 20.0, 'DECAYED': 18.0, 'WOOD': 30.0, 'GRASS': 25.0, 'FLOWER': 20.0, 'CHEMICAL': 15.0, 'HOW STRONG IS THE SMELL?': 50.0, 'HOW PLEASANT IS THE SMELL?': 40.0, 'HOW FAMILIAR IS THE SMELL?': 35.0}",38.54545454545455,16.5,28.8,29.291666666666668,69.33734939759036,25.397590361445783,45.43373493975904,10.545454545454547,28.0,38.54545454545455,5.5,22.0,16.5,8.8,20.0,28.8,11.291666666666668,18.0,29.291666666666668,19.33734939759036,50.0,69.33734939759036,14.602409638554217,40.0,25.397590361445783,10.433734939759042,35.0,45.43373493975904,11.501516455432121,7.0,
4-Ethoxybenzaldehyde,basic,"<scent_ratings>
{
    ""molecule"": ""4-Ethoxybenzaldehyde"",
    ""EDIBLE"": 20.0,
    ""BAKERY"": 30.0,
    ""SWEET"": 40.0,
    ""FRUIT"": 25.0,
    ""FISH"": 15.0,
    ""GARLIC"": 5.0,
    ""SPICES"": 20.0,
    ""COLD"": 25.0,
    ""SOUR"": 10.0,
    ""BURNT"": 5.0,
    ""ACID"": 15.0,
    ""WARM"": 30.0,
    ""MUSKY"": 10.0,
    ""SWEATY"": 5.0,
    ""AMMONIA/URINOUS"": 20.0,
    ""DECAYED"": 10.0,
    ""WOOD"": 25.0,
    ""GRASS"": 15.0,
    ""FLOWER"": 35.0,
    ""CHEMICAL"": 10.0,
    ""HOW STRONG IS THE SMELL?"": 50.0,
    ""HOW PLEASANT IS THE SMELL?"": 55.0,
    ""HOW FAMILIAR IS THE SMELL?"": 45.0
}
</scent_ratings>","{'molecule': '4-Ethoxybenzaldehyde', 'EDIBLE': 20.0, 'BAKERY': 30.0, 'SWEET': 40.0, 'FRUIT': 25.0, 'FISH': 15.0, 'GARLIC': 5.0, 'SPICES': 20.0, 'COLD': 25.0, 'SOUR': 10.0, 'BURNT': 5.0, 'ACID': 15.0, 'WARM': 30.0, 'MUSKY': 10.0, 'SWEATY': 5.0, 'AMMONIA/URINOUS': 20.0, 'DECAYED': 10.0, 'WOOD': 25.0, 'GRASS': 15.0, 'FLOWER': 35.0, 'CHEMICAL': 10.0, 'HOW STRONG IS THE SMELL?': 50.0, 'HOW PLEASANT IS THE SMELL?': 55.0, 'HOW FAMILIAR IS THE SMELL?': 45.0}",1.0,28.714285714285715,19.857142857142858,11.666666666666666,51.723404255319146,66.94680851063829,53.54255319148936,14.0,15.0,1.0,3.7142857142857153,25.0,28.714285714285715,0.14285714285714235,20.0,19.857142857142858,1.666666666666666,10.0,11.666666666666666,1.7234042553191458,50.0,51.723404255319146,11.946808510638292,55.0,66.94680851063829,8.542553191489361,45.0,53.54255319148936,5.96236792589376,7.0,
ethylbenzene,basic,"<scent_ratings>
{
    ""molecule"": ""ethylbenzene"",
    ""EDIBLE"": 10.0,
    ""BAKERY"": 5.0,
    ""SWEET"": 15.0,
    ""FRUIT"": 10.0,
    ""FISH"": 20.0,
    ""GARLIC"": 5.0,
    ""SPICES"": 15.0,
    ""COLD"": 25.0,
    ""SOUR"": 10.0,
    ""BURNT"": 20.0,
    ""ACID"": 15.0,
    ""WARM"": 30.0,
    ""MUSKY"": 25.0,
    ""SWEATY"": 10.0,
    ""AMMONIA/URINOUS"": 20.0,
    ""DECAYED"": 15.0,
    ""WOOD"": 30.0,
    ""GRASS"": 10.0,
    ""FLOWER"": 5.0,
    ""CHEMICAL"": 40.0,
    ""HOW STRONG IS THE SMELL?"": 60.0,
    ""HOW PLEASANT IS THE SMELL?"": 35.0,
    ""HOW FAMILIAR IS THE SMELL?"": 50.0
}
</scent_ratings>","{'molecule': 'ethylbenzene', 'EDIBLE': 10.0, 'BAKERY': 5.0, 'SWEET': 15.0, 'FRUIT': 10.0, 'FISH': 20.0, 'GARLIC': 5.0, 'SPICES': 15.0, 'COLD': 25.0, 'SOUR': 10.0, 'BURNT': 20.0, 'ACID': 15.0, 'WARM': 30.0, 'MUSKY': 25.0, 'SWEATY': 10.0, 'AMMONIA/URINOUS': 20.0, 'DECAYED': 15.0, 'WOOD': 30.0, 'GRASS': 10.0, 'FLOWER': 5.0, 'CHEMICAL': 40.0, 'HOW STRONG IS THE SMELL?': 60.0, 'HOW PLEASANT IS THE SMELL?': 35.0, 'HOW FAMILIAR IS THE SMELL?': 50.0}",1.0,28.0,23.5,31.625,59.1125,39.9625,46.9,19.0,20.0,1.0,3.0,25.0,28.0,3.5,20.0,23.5,16.625,15.0,31.625,0.8875000000000028,60.0,59.1125,4.962499999999999,35.0,39.9625,3.1000000000000014,50.0,46.9,7.296428571428572,7.0,
